trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
13,55,lambda_perturbation,linear,0.7,0.927027027027027,0.8348623853211009,-0.02534706004061449,0.0,0.8278614191842644
13,55,lambda_perturbation,linear,0.725,0.9652412412412413,0.8867924528301887,-0.018845350801776184,0.01,0.8343631284231027
13,55,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.07,0.8532084792248789
13,55,lambda_perturbation,linear,0.775,0.9671911911911912,0.8867924528301887,0.013318172561177732,0.13,0.8665266517860566
13,55,lambda_perturbation,linear,0.8,0.9365725725725725,0.7391304347826086,0.03164536303898613,0.21,0.884853842263865
13,55,lambda_perturbation,geometric,0.7,0.9646497080900749,0.9047619047619048,-0.012436206106981595,0.0,0.8077749177505283
13,55,lambda_perturbation,geometric,0.725,0.9825896580483735,0.9230769230769231,-0.010029652863988159,0.0,0.8101814709935218
13,55,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8202111238575099
13,55,lambda_perturbation,geometric,0.775,0.982368640533778,0.9230769230769231,0.0056827659876255154,0.0,0.8258938898451355
13,55,lambda_perturbation,geometric,0.8,0.9655587989991659,0.8518518518518519,0.015475322127334712,0.0,0.8356864459848447
13,55,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7427381030589824
13,55,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7427381030589824
13,55,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7427381030589824
13,55,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7427381030589824
13,55,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7427381030589824
14,56,lambda_perturbation,linear,0.7,0.9273993993993994,0.8018018018018018,-0.02491882309304916,0.0,0.8328169058077135
14,56,lambda_perturbation,linear,0.725,0.9645925925925926,0.8518518518518519,-0.01789396050884562,0.0,0.839841768391917
14,56,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.05,0.8577357289007627
14,56,lambda_perturbation,linear,0.775,0.9668828828828829,0.8348623853211009,0.020250032077074542,0.14,0.8779857609778372
14,56,lambda_perturbation,linear,0.8,0.9357117117117117,0.7391304347826086,0.031861461918239686,0.2,0.8895971908190023
14,56,lambda_perturbation,geometric,0.7,0.9649582985821517,0.8867924528301887,-0.011512244683584028,0.0,0.8141903455258037
14,56,lambda_perturbation,geometric,0.725,0.9825896580483735,0.941747572815534,-0.004784945140549168,0.0,0.8209176450688386
14,56,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8257025902093877
14,56,lambda_perturbation,geometric,0.775,0.9826355296080065,0.9230769230769231,0.00675070716279258,0.0,0.8324532973721803
14,56,lambda_perturbation,geometric,0.8,0.9656338615512926,0.8867924528301887,0.01227698585701753,0.0,0.8379795760664053
14,56,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7492008523803064
14,56,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7492008523803064
14,56,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7492008523803064
14,56,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7492008523803064
14,56,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7492008523803064
15,57,lambda_perturbation,linear,0.7,0.9278598598598599,0.8518518518518519,-0.017651984886279726,0.0,0.8355253518294862
15,57,lambda_perturbation,linear,0.725,0.9646246246246247,0.9047619047619048,-0.011880365334783205,0.0,0.8412969713809827
15,57,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.04,0.8531773367157659
15,57,lambda_perturbation,linear,0.775,0.967047047047047,0.8348623853211009,0.01940635930710599,0.12,0.8725836960228719
15,57,lambda_perturbation,linear,0.8,0.9360720720720721,0.6949152542372882,0.03656460003681972,0.2,0.8897419367525856
15,57,lambda_perturbation,geometric,0.7,0.9661718098415345,0.941747572815534,-0.0073429048691567855,0.0,0.8176642687580628
15,57,lambda_perturbation,geometric,0.725,0.9830316930775646,0.9607843137254902,-0.0036199387539016525,0.0,0.8213872348733179
15,57,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8250071736272195
15,57,lambda_perturbation,geometric,0.775,0.9831734778982485,0.9230769230769231,0.006635864089739596,0.0,0.8316430377169591
15,57,lambda_perturbation,geometric,0.8,0.9663386155129273,0.8691588785046729,0.009302893510571342,0.0,0.8343100671377909
15,57,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7558179420125325
15,57,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7558179420125325
15,57,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7558179420125325
